"MechanisticTarget","MT_NCIm_term","asid","aid","anm","acid","acnm","aeid","aenm"
"Cell Morphology","Cell Viability Process",2,4,"APR_HepG2_72hr",24,"APR_HepG2_MicrotubuleCSK_72hr",48,"APR_HepG2_MicrotubuleCSK_72hr"
"Mitochondrial Function","Energy Metabolism Process",2,2,"APR_HepG2_1hr",5,"APR_HepG2_MitoMass_1hr",10,"APR_HepG2_MitoMass_1hr"
"Mitochondrial Function","Energy Metabolism Process",2,3,"APR_HepG2_24hr",15,"APR_HepG2_MitoMass_24hr",30,"APR_HepG2_MitoMass_24hr"
"CardioTox_Mt Dys",,2,4,"APR_HepG2_72hr",25,"APR_HepG2_MitoMass_72hr",50,"APR_HepG2_MitoMass_72hr"
"Mitochondrial Function","Energy Metabolism Process",2,2,"APR_HepG2_1hr",6,"APR_HepG2_MitoMembPot_1hr",12,"APR_HepG2_MitoMembPot_1hr"
"Mitochondrial Function","Energy Metabolism Process",2,3,"APR_HepG2_24hr",16,"APR_HepG2_MitoMembPot_24hr",32,"APR_HepG2_MitoMembPot_24hr"
"Mitochondrial Function","Energy Metabolism Process",2,4,"APR_HepG2_72hr",26,"APR_HepG2_MitoMembPot_72hr",52,"APR_HepG2_MitoMembPot_72hr"
"Cell Cycle","Cell Cycle",2,2,"APR_HepG2_1hr",7,"APR_HepG2_MitoticArrest_1hr",14,"APR_HepG2_MitoticArrest_1hr"
"Cell Cycle","Cell Cycle",2,3,"APR_HepG2_24hr",17,"APR_HepG2_MitoticArrest_24hr",34,"APR_HepG2_MitoticArrest_24hr"
"Cell Cycle","Cell Cycle",2,4,"APR_HepG2_72hr",27,"APR_HepG2_MitoticArrest_72hr",54,"APR_HepG2_MitoticArrest_72hr"
"Cell Morphology","Cell Viability Process",2,2,"APR_HepG2_1hr",8,"APR_HepG2_NuclearSize_1hr",16,"APR_HepG2_NuclearSize_1hr"
"Cell Morphology","Cell Viability Process",2,3,"APR_HepG2_24hr",18,"APR_HepG2_NuclearSize_24hr",36,"APR_HepG2_NuclearSize_24hr"
"Cell Morphology","Cell Viability Process",2,4,"APR_HepG2_72hr",28,"APR_HepG2_NuclearSize_72hr",56,"APR_HepG2_NuclearSize_72hr"
"p53 Modulation","p53 Signaling Pathway",2,2,"APR_HepG2_1hr",10,"APR_HepG2_p53Act_1hr",20,"APR_HepG2_p53Act_1hr"
"p53 Modulation","p53 Signaling Pathway",2,3,"APR_HepG2_24hr",20,"APR_HepG2_p53Act_24hr",40,"APR_HepG2_p53Act_24hr"
"p53 Modulation","p53 Signaling Pathway",2,4,"APR_HepG2_72hr",30,"APR_HepG2_p53Act_72hr",60,"APR_HepG2_p53Act_72hr"
"Oxidative Stress","Oxidative Stress",2,2,"APR_HepG2_1hr",11,"APR_HepG2_StressKinase_1hr",22,"APR_HepG2_StressKinase_1hr"
"CardioTox_OxidativeStress",,2,3,"APR_HepG2_24hr",21,"APR_HepG2_StressKinase_24hr",42,"APR_HepG2_StressKinase_24hr"
"Oxidative Stress","Oxidative Stress",2,4,"APR_HepG2_72hr",31,"APR_HepG2_StressKinase_72hr",62,"APR_HepG2_StressKinase_72hr"
"Aryl Hydrocarbon Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,5,"ATG_CIS",32,"ATG_Ahr_CIS",63,"ATG_Ahr_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",33,"ATG_AP_1_CIS",64,"ATG_AP_1_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",34,"ATG_AP_2_CIS",65,"ATG_AP_2_CIS"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,6,"ATG_TRANS",84,"ATG_AR_TRANS",115,"ATG_AR_TRANS"
"Other Developmental Signaling Transcription Factors","Gene Expression Regulation, Developmental Signaling",3,5,"ATG_CIS",35,"ATG_BRE_CIS",66,"ATG_BRE_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",36,"ATG_C_EBP_CIS",67,"ATG_C_EBP_CIS"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,6,"ATG_TRANS",85,"ATG_CAR_TRANS",116,"ATG_CAR_TRANS"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1856,"ATG_chAR_XSP1",1913,"ATG_chAR_XSP1"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,571,"ATG_XSP2_multi-species_TRANS",1895,"ATG_chAR_XSP2",1991,"ATG_chAR_XSP2"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1866,"ATG_chERa_XSP1",1933,"ATG_chERa_XSP1"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,571,"ATG_XSP2_multi-species_TRANS",1892,"ATG_chERa_XSP2",1985,"ATG_chERa_XSP2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",924,"ATG_COUP_TF1_TRANS2",1357,"ATG_COUP_TF1_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",917,"ATG_COUP_TF2_TRANS2",1350,"ATG_COUP_TF2_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",38,"ATG_CRE_CIS",69,"ATG_CRE_CIS"
"Other Developmental Signaling Transcription Factors","Gene Expression Regulation, Developmental Signaling",3,408,"ATG_TRANS2",927,"ATG_DAX1_TRANS2",1360,"ATG_DAX1_TRANS2"
"Liver X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,5,"ATG_CIS",39,"ATG_DR4_LXR_CIS",70,"ATG_DR4_LXR_CIS"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",3,5,"ATG_CIS",40,"ATG_DR5_RAR_CIS",71,"ATG_DR5_RAR_CIS"
"Other Developmental Signaling Transcription Factors","Gene Expression Regulation, Developmental Signaling",3,5,"ATG_CIS",41,"ATG_E_Box_CIS",72,"ATG_E_Box_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",42,"ATG_E2F_CIS",73,"ATG_E2F_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",937,"ATG_EAR2_TRANS2",1370,"ATG_EAR2_TRANS2"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",43,"ATG_EGR_CIS",74,"ATG_EGR_CIS"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,6,"ATG_TRANS",86,"ATG_ERa_TRANS",117,"ATG_ERa_TRANS"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,408,"ATG_TRANS2",934,"ATG_ERb_TRANS2",1367,"ATG_ERb_TRANS2"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,5,"ATG_CIS",44,"ATG_ERE_CIS",75,"ATG_ERE_CIS"
"Estrogen-related Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,6,"ATG_TRANS",87,"ATG_ERRa_TRANS",118,"ATG_ERRa_TRANS"
"Estrogen-related Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",922,"ATG_ERRb_TRANS2",1355,"ATG_ERRb_TRANS2"
"Estrogen-related Receptor Modulation","Estrogen Metabolic Process",3,6,"ATG_TRANS",88,"ATG_ERRg_TRANS",119,"ATG_ERRg_TRANS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",45,"ATG_Ets_CIS",76,"ATG_Ets_CIS"
"Apoptosis","Apoptosis",3,5,"ATG_CIS",46,"ATG_FoxA2_CIS",77,"ATG_FoxA2_CIS"
"Apoptosis","Apoptosis",3,5,"ATG_CIS",47,"ATG_FoxO_CIS",78,"ATG_FoxO_CIS"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1857,"ATG_frAR_XSP1",1915,"ATG_frAR_XSP1"
"Androgen Receptor Modulation","Androgen Metabolic Process",3,571,"ATG_XSP2_multi-species_TRANS",1897,"ATG_frAR_XSP2",1995,"ATG_frAR_XSP2"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1861,"ATG_frER1_XSP1",1923,"ATG_frER1_XSP1"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,571,"ATG_XSP2_multi-species_TRANS",1896,"ATG_frER1_XSP2",1993,"ATG_frER1_XSP2"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,569,"ATG_XSP1_multi-species_TRANS",1865,"ATG_frER2_XSP1",1931,"ATG_frER2_XSP1"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,571,"ATG_XSP2_multi-species_TRANS",1903,"ATG_frER2_XSP2",2007,"ATG_frER2_XSP2"
"Thyroid Receptor Modulation","Thyroid Receptor Modulation",3,569,"ATG_XSP1_multi-species_TRANS",1879,"ATG_frTRa_XSP1",1959,"ATG_frTRa_XSP1"
"Thyroid Receptor Modulation","Gene Expression Regulation, Thyroid Signaling",3,571,"ATG_XSP2_multi-species_TRANS",1912,"ATG_frTRa_XSP2",2025,"ATG_frTRa_XSP2"
"Farnesoid X-activated Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,6,"ATG_TRANS",89,"ATG_FXR_TRANS",120,"ATG_FXR_TRANS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",48,"ATG_GATA_CIS",79,"ATG_GATA_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",916,"ATG_GCNF_TRANS2",1349,"ATG_GCNF_TRANS2"
"Other Developmental Signaling Transcription Factors","Gene Expression Regulation, Developmental Signaling",3,5,"ATG_CIS",49,"ATG_GLI_CIS",80,"ATG_GLI_CIS"
"Adenosine Receptor Modulation","G Protein-coupled Adenosine Receptor Activity",3,430,"ATG_GPCR_TRANS",1035,"ATG_GPCR_ADORA2A_TRANS",1746,"ATG_GPCR_ADORA2A_TRANS"
"Adenosine Receptor Modulation","G Protein-coupled Adenosine Receptor Activity",3,430,"ATG_GPCR_TRANS",1036,"ATG_GPCR_ADORA2B_TRANS",1748,"ATG_GPCR_ADORA2B_TRANS"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1037,"ATG_GPCR_ADRA1A_TRANS",1750,"ATG_GPCR_ADRA1A_TRANS"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1038,"ATG_GPCR_ADRA2B_TRANS",1752,"ATG_GPCR_ADRA2B_TRANS"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1039,"ATG_GPCR_ADRB2_TRANS",1754,"ATG_GPCR_ADRB2_TRANS"
"Adrenergic Receptor Modulation","Adrenergic Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1040,"ATG_GPCR_ADRB3_TRANS",1756,"ATG_GPCR_ADRB3_TRANS"
"Muscarinic Acetylcholine Receptor Modulation","Acetylcholine Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1041,"ATG_GPCR_CHRM3_TRANS",1758,"ATG_GPCR_CHRM3_TRANS"
"Dopamine Receptor Modulation","Dopamine Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1042,"ATG_GPCR_DRD1_TRANS",1760,"ATG_GPCR_DRD1_TRANS"
"Dopamine Receptor Modulation","Dopamine Receptor Signaling Pathway",3,430,"ATG_GPCR_TRANS",1043,"ATG_GPCR_DRD5_TRANS",1762,"ATG_GPCR_DRD5_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1044,"ATG_GPCR_EDNRA_TRANS",1764,"ATG_GPCR_EDNRA_TRANS"
"Glucagon Receptor Activity Modulation","Energy Metabolism Process",3,430,"ATG_GPCR_TRANS",1045,"ATG_GPCR_GCGR_TRANS",1766,"ATG_GPCR_GCGR_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1046,"ATG_GPCR_GPBAR1_TRANS",1768,"ATG_GPCR_GPBAR1_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1047,"ATG_GPCR_GPR40_TRANS",1770,"ATG_GPCR_GPR40_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1048,"ATG_GPCR_GQ_TRANS",1772,"ATG_GPCR_GQ_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1050,"ATG_GPCR_GS_TRANS",1776,"ATG_GPCR_GS_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1049,"ATG_GPCR_GS1_TRANS",1774,"ATG_GPCR_GS1_TRANS"
"Histamine Receptor Modulation","Histamine Receptor Activity",3,430,"ATG_GPCR_TRANS",1051,"ATG_GPCR_HRH1_TRANS",1778,"ATG_GPCR_HRH1_TRANS"
"Serotonin Receptor Modulation",,3,430,"ATG_GPCR_TRANS",1052,"ATG_GPCR_HTR6_TRANS",1780,"ATG_GPCR_HTR6_TRANS"
"Serotonin Receptor Modulation",,3,430,"ATG_GPCR_TRANS",1053,"ATG_GPCR_HTR7_TRANS",1782,"ATG_GPCR_HTR7_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1054,"ATG_GPCR_LPAR4_TRANS",1784,"ATG_GPCR_LPAR4_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1055,"ATG_GPCR_MC1R_TRANS",1786,"ATG_GPCR_MC1R_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1056,"ATG_GPCR_MC2R_TRANS",1788,"ATG_GPCR_MC2R_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1057,"ATG_GPCR_MC3R_TRANS",1790,"ATG_GPCR_MC3R_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1058,"ATG_GPCR_MC4R_TRANS",1792,"ATG_GPCR_MC4R_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1059,"ATG_GPCR_PTGDR_TRANS",1794,"ATG_GPCR_PTGDR_TRANS"
"Unspecified","Unannotated",3,430,"ATG_GPCR_TRANS",1060,"ATG_GPCR_PTGIR_TRANS",1796,"ATG_GPCR_PTGIR_TRANS"
"Glucocorticoid Receptor Modulation","Glucocorticoid Metabolic Process",3,6,"ATG_TRANS",91,"ATG_GR_TRANS",122,"ATG_GR_TRANS"
"Glucocorticoid Receptor Modulation","Glucocorticoid Metabolic Process",3,5,"ATG_CIS",50,"ATG_GRE_CIS",81,"ATG_GRE_CIS"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1858,"ATG_hAR_XSP1",1917,"ATG_hAR_XSP1"
"Androgen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,571,"ATG_XSP2_multi-species_TRANS",1894,"ATG_hAR_XSP2",1989,"ATG_hAR_XSP2"
"Estrogen Receptor Modulation","Estrogen Metabolic Process",3,569,"ATG_XSP1_multi-species_TRANS",1867,"ATG_hERa_XSP1",1935,"ATG_hERa_XSP1"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,571,"ATG_XSP2_multi-species_TRANS",1900,"ATG_hERa_XSP2",2001,"ATG_hERa_XSP2"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,569,"ATG_XSP1_multi-species_TRANS",1869,"ATG_hERb_XSP1",1939,"ATG_hERb_XSP1"
"Estrogen Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,571,"ATG_XSP2_multi-species_TRANS",1888,"ATG_hERb_XSP2",1977,"ATG_hERb_XSP2"
"Oxidative Stress","Oxidative Stress",3,5,"ATG_CIS",51,"ATG_HIF1a_CIS",82,"ATG_HIF1a_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,6,"ATG_TRANS",92,"ATG_HNF4a_TRANS",123,"ATG_HNF4a_TRANS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",921,"ATG_HNF4g_TRANS2",1354,"ATG_HNF4g_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",52,"ATG_HNF6_CIS",83,"ATG_HNF6_CIS"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,569,"ATG_XSP1_multi-species_TRANS",1875,"ATG_hPPARg_XSP1",1951,"ATG_hPPARg_XSP1"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,571,"ATG_XSP2_multi-species_TRANS",1906,"ATG_hPPARg_XSP2",2013,"ATG_hPPARg_XSP2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",53,"ATG_HSE_CIS",84,"ATG_HSE_CIS"
"Thyroid Receptor Modulation","Gene Expression Regulation, Thyroid Signaling",3,569,"ATG_XSP1_multi-species_TRANS",1880,"ATG_hTRa_XSP1",1961,"ATG_hTRa_XSP1"
"Thyroid Receptor Modulation","Gene Expression Regulation, Thyroid Signaling",3,571,"ATG_XSP2_multi-species_TRANS",1913,"ATG_hTRa_XSP2",2027,"ATG_hTRa_XSP2"
"Thyroid Receptor Modulation","Gene Expression Regulation, Thyroid Signaling",3,569,"ATG_XSP1_multi-species_TRANS",1883,"ATG_hTRb_XSP1",1967,"ATG_hTRb_XSP1"
"Thyroid Receptor Modulation","Gene Expression Regulation, Thyroid Signaling",3,571,"ATG_XSP2_multi-species_TRANS",1914,"ATG_hTRb_XSP2",2029,"ATG_hTRb_XSP2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",54,"ATG_IR1_CIS",85,"ATG_IR1_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",55,"ATG_ISRE_CIS",86,"ATG_ISRE_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",919,"ATG_LRH1_TRANS2",1352,"ATG_LRH1_TRANS2"
"Liver X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,6,"ATG_TRANS",94,"ATG_LXRa_TRANS",125,"ATG_LXRa_TRANS"
"Liver X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,6,"ATG_TRANS",95,"ATG_LXRb_TRANS",126,"ATG_LXRb_TRANS"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,569,"ATG_XSP1_multi-species_TRANS",1876,"ATG_mPPARg_XSP1",1953,"ATG_mPPARg_XSP1"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,571,"ATG_XSP2_multi-species_TRANS",1904,"ATG_mPPARg_XSP2",2009,"ATG_mPPARg_XSP2"
"Pregnane X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,569,"ATG_XSP1_multi-species_TRANS",1878,"ATG_mPXR_XSP1",1957,"ATG_mPXR_XSP1"
"Pregnane X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,571,"ATG_XSP2_multi-species_TRANS",1907,"ATG_mPXR_XSP2",2015,"ATG_mPXR_XSP2"
"Mineralocorticoid Receptor Modulation","Gene Expression Regulation, Steroid Hormone Nuclear Receptor",3,408,"ATG_TRANS2",923,"ATG_MR_TRANS2",1356,"ATG_MR_TRANS2"
"Oxidative Stress","Oxidative Stress",3,5,"ATG_CIS",60,"ATG_MRE_CIS",91,"ATG_MRE_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",61,"ATG_Myb_CIS",92,"ATG_Myb_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",62,"ATG_Myc_CIS",93,"ATG_Myc_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",63,"ATG_NF_kB_CIS",94,"ATG_NF_kB_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",64,"ATG_NFI_CIS",95,"ATG_NFI_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",925,"ATG_NOR1_TRANS2",1358,"ATG_NOR1_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",65,"ATG_NRF1_CIS",96,"ATG_NRF1_CIS"
"Oxidative Stress","Oxidative Stress",3,5,"ATG_CIS",66,"ATG_NRF2_ARE_CIS",97,"ATG_NRF2_ARE_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",915,"ATG_NUR77_TRANS2",1348,"ATG_NUR77_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,6,"ATG_TRANS",100,"ATG_NURR1_TRANS",131,"ATG_NURR1_TRANS"
"Other Developmental Signaling Transcription Factors","Gene Expression Regulation, Developmental Signaling",3,5,"ATG_CIS",67,"ATG_Oct_MLP_CIS",98,"ATG_Oct_MLP_CIS"
"p53 Modulation","p53 Signaling Pathway",3,5,"ATG_CIS",68,"ATG_p53_CIS",99,"ATG_p53_CIS"
"Cell Cycle","Cell Cycle",3,5,"ATG_CIS",69,"ATG_Pax6_CIS",100,"ATG_Pax6_CIS"
"Constitutive Androstane Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,5,"ATG_CIS",70,"ATG_PBREM_CIS",101,"ATG_PBREM_CIS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",918,"ATG_PNR_TRANS2",1351,"ATG_PNR_TRANS2"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,6,"ATG_TRANS",101,"ATG_PPARa_TRANS",132,"ATG_PPARa_TRANS"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,6,"ATG_TRANS",102,"ATG_PPARd_TRANS",133,"ATG_PPARd_TRANS"
"Peroxisome Proliferator Activated Receptor Modulation","Gene Expression Regulation, Fatty Acid Signaling",3,6,"ATG_TRANS",103,"ATG_PPARg_TRANS",134,"ATG_PPARg_TRANS"
"CardioTox_PPARG",,3,5,"ATG_CIS",71,"ATG_PPRE_CIS",102,"ATG_PPRE_CIS"
"Progesterone Receptor Modulation","Progesterone Metabolic Process",3,408,"ATG_TRANS2",930,"ATG_PR_TRANS2",1363,"ATG_PR_TRANS2"
"Pregnane X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,6,"ATG_TRANS",104,"ATG_PXR_TRANS",135,"ATG_PXR_TRANS"
"Pregnane X Receptor Modulation","Gene Expression Regulation, Xenobiotic Response",3,5,"ATG_CIS",72,"ATG_PXRE_CIS",103,"ATG_PXRE_CIS"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",3,6,"ATG_TRANS",105,"ATG_RARa_TRANS",136,"ATG_RARa_TRANS"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",3,6,"ATG_TRANS",106,"ATG_RARb_TRANS",137,"ATG_RARb_TRANS"
"Retinoic Acid Receptor Modulation","Gene Expression Regulation, Developmental Signaling",3,6,"ATG_TRANS",107,"ATG_RARg_TRANS",138,"ATG_RARg_TRANS"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",920,"ATG_Rev_ERB_A_TRANS2",1353,"ATG_Rev_ERB_A_TRANS2"
"Other Transcription Factors","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",928,"ATG_Rev_ERB_B_TRANS2",1361,"ATG_Rev_ERB_B_TRANS2"
"RAR-related Orphan Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,408,"ATG_TRANS2",929,"ATG_RORa_TRANS2",1362,"ATG_RORa_TRANS2"
"RAR-related Orphan Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,6,"ATG_TRANS",108,"ATG_RORb_TRANS",139,"ATG_RORb_TRANS"
"RAR-related Orphan Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,5,"ATG_CIS",73,"ATG_RORE_CIS",104,"ATG_RORE_CIS"
"RAR-related Orphan Receptor Modulation","Gene Expression Regulation, Other Transcription Factors",3,6,"ATG_TRANS",109,"ATG_RORg_TRANS",140,"ATG_RORg_TRANS"
"Retinoid X Receptor Modulation","Gene Expression Regulation, Developmental Signaling",3,6,"ATG_TRANS",110,"ATG_RXRa_TRANS",141,"ATG_RXRa_TRANS"
