,aeid,acid,assay_component_endpoint_name,export_ready,internal_ready,assay_component_endpoint_desc,assay_function_type,normalized_data_type,burst_assay,key_positive_control,signal_direction,intended_target_type,intended_target_type_sub,intended_target_family,intended_target_family_sub,fit_all,cell_viability_assay,data_usability,n_chemicals,n_chemicals_no_chid,aid,assay_component_name,assay_component_desc,assay_component_target_desc,parameter_readout_type,assay_design_type,assay_design_type_sub,biological_process_target,detection_technology_type,detection_technology_type_sub,detection_technology,key_assay_reagent_type,key_assay_reagent,technological_target_type,technological_target_type_sub,asid,assay_name,assay_desc,timepoint_hr,organism_id,organism,tissue,cell_format,cell_free_component_source,cell_short_name,cell_growth_mode,assay_footprint,assay_format_type,assay_format_type_sub,content_readout_type,dilution_solvent,dilution_solvent_percent_max,fate,n_valid_hitcall_c,n_hitcall_c_hit,n_hitcall_c_nohit
151,222,152,BSK_CASM3C_Proliferation,1,1,"Data from the assay component BSK_CASM3C_Proliferation was analyzed into 1 assay endpoint. 
This assay endpoint, BSK_CASM3C_Proliferation, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of total protein for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log10_fold_induction,0,colchicine,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,1705,0,10,BSK_CASM3C_Proliferation,BSK_CASM3C_Proliferation is an assay component measured in the BSK_CASM3C assay. It measures 0.1% sulforhodamine related to cell proliferation using Sulforhodamine staining technology.,Proliferation in the CASM3C system is a measure of coronary artery smooth muscle cell proliferation which is important to the process of vasacular biology and restenosis.,single,viability reporter,protein content,cell proliferation,Spectrophotometry,Absorbance,Sulforhodamine staining,stain,0.1% sulforhodamine,protein,protein-unspecified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1533.0,315.0,1218.0
152,224,153,BSK_CASM3C_SAA,1,1,"Data from the assay component BSK_CASM3C_SAA was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3C_SAA, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene SAA1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is apolipoproteins.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,apolipoproteins,0,0,1,1705,0,10,BSK_CASM3C_SAA,BSK_CASM3C_SAA is an assay component measured in the BSK_CASM3C assay. It measures SAA antibody related to regulation of gene expression using ELISA technology.,Serum Amyloid A (SAA) is a member of the apolipoprotein family that is an acute phase reactant.  SAA is categorized as an inflammation-related activity in the CASM3C system modeling Th1 vascular smooth muscle inflammation. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines [GeneSymbol:SAA1 | GeneID:6288 | Uniprot_SwissProt_Accession:P0DJI8].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,SAA antibody,protein,protein-specified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1600.0,68.0,1532.0
153,226,154,BSK_CASM3C_SRB,1,1,"Data from the assay component BSK_CASM3C_SRB was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3C_SRB, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, gain or loss-of-signal activity can be used to understand changes in the signaling. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell morphology intended target family, where the subfamily is cell conformation.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-unspecified,cell morphology,cell conformation,0,0,1,1705,0,10,BSK_CASM3C_SRB,BSK_CASM3C_SRB is an assay component measured in the BSK_CASM3C assay. It measures 0.1% sulforhodamine related to cell death using Sulforhodamine staining technology.,"SRB in the CASM3C system is a measure of the total protein content of coronary artery smooth muscle cells.  Cell viability of adherent cells is measured by Sulforhodamine B (SRB) staining, a method that determines cell density by measuring total protein content of test wells.",single,viability reporter,protein content,cell death,Spectrophotometry,Absorbance,Sulforhodamine staining,stain,0.1% sulforhodamine,protein,protein-unspecified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1620.0,63.0,1557.0
154,228,155,BSK_CASM3C_Thrombomodulin,1,1,"Data from the assay component BSK_CASM3C_Thrombomodulin was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3C_Thrombomodulin, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene THBD. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the gpcr intended target family, where the subfamily is rhodopsin-like receptor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,gpcr,rhodopsin-like receptor,0,0,1,1705,0,10,BSK_CASM3C_Thrombomodulin,BSK_CASM3C_Thrombomodulin is an assay component measured in the BSK_CASM3C assay. It measures Thrombomodulin antibody related to regulation of gene expression using ELISA technology.,Thrombomodulin antibody is used to tag and quantify the level of thrombomodulin protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines [GeneSymbol:THBD | GeneID:7056 | Uniprot_SwissProt_Accession:P07204].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,Thrombomodulin antibody,protein,protein-specified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1587.0,131.0,1456.0
155,230,156,BSK_CASM3C_TissueFactor,1,1,"Data from the assay component BSK_CASM3C_TissueFactor was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3C_TissueFactor, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene F3. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is coagulation factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,coagulation factor,0,0,1,1705,0,10,BSK_CASM3C_TissueFactor,BSK_CASM3C_TissueFactor is an assay component measured in the BSK_CASM3C assay. It measures Tissue Factor antibody related to regulation of gene expression using ELISA technology.,"Tissue Factor antibody is used to tag and quantify the level of coagulation factor III (thromboplastin, tissue factor) protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines [GeneSymbol:F3 | GeneID:2152 | Uniprot_SwissProt_Accession:P13726].",single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,Tissue Factor antibody,protein,protein-specified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1606.0,76.0,1530.0
156,232,157,BSK_CASM3C_uPAR,1,1,"Data from the assay component BSK_CASM3CAR was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3CAR, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene PLAUR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is plasmogen activator.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator,0,0,1,1705,0,10,BSK_CASM3C_uPAR,BSK_CASM3CAR is an assay component measured in the BSK_CASM3C assay. It measures uPAR antibody related to regulation of gene expression using ELISA technology.,"uPAR antibody is used to tag and quantify the level of plasminogen activator, urokinase receptor protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines [GeneSymbol:PLAUR | GeneID:5329 | Uniprot_SwissProt_Accession:Q03405].",single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,uPAR antibody,protein,protein-specified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1585.0,73.0,1512.0
157,234,158,BSK_CASM3C_VCAM1,1,1,"Data from the assay component BSK_CASM3C_VCAM1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_CASM3C_VCAM1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene VCAM1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is Immunoglobulin CAM.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,Immunoglobulin CAM,0,0,1,1705,0,10,BSK_CASM3C_VCAM1,BSK_CASM3C_VCAM1 is an assay component measured in the BSK_CASM3C assay. It measures VCAM-1 antibody related to regulation of gene expression using ELISA technology.,VCAM-1 antibody is used to tag and quantify the level of vascular cell adhesion molecule 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines [GeneSymbol:VCAM1 | GeneID:7412 | Uniprot_SwissProt_Accession:P19320].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,VCAM-1 antibody,protein,protein-specified,4,BSK_CASM3C,"BSK_CASM3C is a cell-based, multiplexed-readout assay that uses umbilical vein endothelium and coronary artery smooth muscle cells, a human vascular primary cell co-culture, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,vascular,primary cell,,coronary artery smooth muscle cells,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1588.0,119.0,1469.0
158,236,159,BSK_hDFCGF_CollagenIII,1,1,"Data from the assay component BSK_hDFCGF_CollagenIII was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_CollagenIII, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene COL3A1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell adhesion molecules intended target family, where the subfamily is collagen.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cell adhesion molecules,collagen,0,0,1,1705,0,11,BSK_hDFCGF_CollagenIII,BSK_hDFCGF_CollagenIII is an assay component measured in the BSK_hDFCGF assay. It measures Collagen antibody related to regulation of gene expression using ELISA technology.,"Collagen antibody is used to tag and quantify the level of collagen, type III, alpha 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:COL3A1 | GeneID:1281 | Uniprot_SwissProt_Accession:P02461].",single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,Collagen antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1552.0,145.0,1407.0
159,238,160,BSK_hDFCGF_EGFR,1,1,"Data from the assay component BSK_hDFCGF_EGFR was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_EGFR, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene EGFR. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the kinase intended target family, where the subfamily is receptor tyrosine kinase.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,receptor,kinase,receptor tyrosine kinase,0,0,1,1705,0,11,BSK_hDFCGF_EGFR,BSK_hDFCGF_EGFR is an assay component measured in the BSK_hDFCGF assay. It measures EGFR antibody related to regulation of gene expression using ELISA technology.,EGFR antibody is used to tag and quantify the level of epidermal growth factor receptor protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:EGFR | GeneID:1956 | Uniprot_SwissProt_Accession:P00533].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,EGFR antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1619.0,42.0,1577.0
160,240,161,BSK_hDFCGF_IL8,1,1,"Data from the assay component BSK_hDFCGF_IL8 was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_IL8, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL8. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is interleukins.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,interleukins,0,0,1,1705,0,11,BSK_hDFCGF_IL8,BSK_hDFCGF_IL8 is an assay component measured in the BSK_hDFCGF assay. It measures IL-8 antibody related to regulation of gene expression using ELISA technology.,IL-8 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 8 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:CXCL8 | GeneID:3576 | Uniprot_SwissProt_Accession:P10145].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,IL-8 antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1618.0,49.0,1569.0
161,242,162,BSK_hDFCGF_IP10,1,1,"Data from the assay component BSK_hDFCGF_IP10 was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_IP10, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL10. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is chemotactic factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,1705,0,11,BSK_hDFCGF_IP10,BSK_hDFCGF_IP10 is an assay component measured in the BSK_hDFCGF assay. It measures IP-10 antibody related to regulation of gene expression using ELISA technology.,IP-10 antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 10 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:CXCL10 | GeneID:3627 | Uniprot_SwissProt_Accession:P02778].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,IP-10 antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1518.0,154.0,1364.0
162,244,163,BSK_hDFCGF_MCSF,1,1,"Data from the assay component BSK_hDFCGF_MCSF was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_MCSF, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CSF1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is colony stimulating factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,colony stimulating factor,0,0,1,1705,0,11,BSK_hDFCGF_MCSF,BSK_hDFCGF_MCSF is an assay component measured in the BSK_hDFCGF assay. It measures M-CSF antibody related to regulation of gene expression using ELISA technology.,M-CSF antibody is used to tag and quantify the level of colony stimulating factor 1 (macrophage) protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:CSF1 | GeneID:1435 | Uniprot_SwissProt_Accession:P09603].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,M-CSF antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1528.0,126.0,1402.0
163,246,164,BSK_hDFCGF_MIG,1,1,"Data from the assay component BSK_hDFCGF_MIG was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_MIG, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene CXCL9. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is chemotactic factor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,chemotactic factor,0,0,1,1705,0,11,BSK_hDFCGF_MIG,BSK_hDFCGF_MIG is an assay component measured in the BSK_hDFCGF assay. It measures MIG antibody related to regulation of gene expression using ELISA technology.,MIG antibody is used to tag and quantify the level of chemokine (C-X-C motif) ligand 9 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:CXCL9 | GeneID:4283 | Uniprot_SwissProt_Accession:Q07325].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,MIG antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1587.0,96.0,1491.0
164,248,165,BSK_hDFCGF_MMP1,1,1,"Data from the assay component BSK_hDFCGF_MMP1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_MMP1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene MMP1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the protease intended target family, where the subfamily is matrix metalloproteinase.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,protease,matrix metalloproteinase,0,0,1,1705,0,11,BSK_hDFCGF_MMP1,BSK_hDFCGF_MMP1 is an assay component measured in the BSK_hDFCGF assay. It measures MMP-1 antibody related to regulation of gene expression using ELISA technology.,MMP-1 antibody is used to tag and quantify the level of matrix metallopeptidase 1 (interstitial collagenase) protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:MMP1 | GeneID:4312 | Uniprot_SwissProt_Accession:P03956].,single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,MMP-1 antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1573.0,111.0,1462.0
165,250,166,BSK_hDFCGF_PAI1,1,1,"Data from the assay component BSK_hDFCGF_PAI1 was analyzed into 1 assay endpoint. This assay endpoint, BSK_hDFCGF_PAI1, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of binding reporter, gain or loss-of-signal activity can be used to understand changes in the signaling as they relate to the gene SERPINE1. 
Furthermore, this assay endpoint can be referred to as a primary readout, because this assay has produced multiple assay endpoints where this one serves a signaling function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cytokine intended target family, where the subfamily is plasmogen activator inhibitor.",signaling,log10_fold_induction,0,colchicine,bidirectional,protein,protein-specified,cytokine,plasmogen activator inhibitor,0,0,1,1705,0,11,BSK_hDFCGF_PAI1,BSK_hDFCGF_PAI1 is an assay component measured in the BSK_hDFCGF assay. It measures PAI-1 antibody related to regulation of gene expression using ELISA technology.,"PAI-1 antibody is used to tag and quantify the level of serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 protein. Changes in the signals are indicative of protein expression changes when conditioned to simulate proinflammation from cytokines and growth factors [GeneSymbol:SERPINE1 | GeneID:5054 | Uniprot_SwissProt_Accession:P05121].",single,binding reporter,immunoassay: elisa,regulation of gene expression,Fluorescence,Fluorescence intensity,ELISA,antibody,PAI-1 antibody,protein,protein-specified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1567.0,122.0,1445.0
166,252,167,BSK_hDFCGF_Proliferation,1,1,"Data from the assay component BSK_hDFCGF_Proliferation was analyzed into 1 assay endpoint. 
This assay endpoint, BSK_hDFCGF_Proliferation, was analyzed with bidirectional fitting relative to DMSO as the negative control and baseline of activity. 
Using a type of viability reporter, measures of total protein for gain or loss-of-signal activity can be used to understand the viability at the cellular-level. 
Furthermore, this assay endpoint can be referred to as a secondary readout, because this assay has produced multiple assay endpoints where this one serves a viability function. 
To generalize the intended target to other relatable targets, this assay endpoint is annotated to the cell cycle intended target family, where the subfamily is proliferation.",viability,log10_fold_induction,0,colchicine,bidirectional,cellular,cellular,cell cycle,proliferation,0,0,1,1705,0,11,BSK_hDFCGF_Proliferation,BSK_hDFCGF_Proliferation is an assay component measured in the BSK_hDFCGF assay. It measures 0.1% sulforhodamine related to cell proliferation using Sulforhodamine staining technology.,0.1% sulforhodamine is used to tag and quantify the total protein levels in the system. Changes to these absorbance signals can be indicative of the viability in the system when conditioned to simulate proinflammation from cytokines and growth factors.,single,viability reporter,protein content,cell proliferation,Spectrophotometry,Absorbance,Sulforhodamine staining,stain,0.1% sulforhodamine,protein,protein-unspecified,4,BSK_hDFCGF,"BSK_hDFCGF is a cell-based, multiplexed-readout assay that uses foreskin fibroblast, a human skin primary cell, with measurements taken at 24 hours after chemical dosing in a 96-well plate.",24.0,9606.0,human,skin,primary cell,,foreskin fibroblast,adherent,microplate: 96-well plate,cell-based,cell-based format,multiplexed,DMSO,0.2,Selected assays,1488.0,463.0,1025.0
